A[32]          B[32]         C
892720969    752712298    0
892720969    892720969    1
-51918419    353200909    0
-51918419    -51918419    1
-393701568    -1481856789    0
-393701568    -393701568    1
1296600979    -1481447025    0
1296600979    1296600979    1
2030343404    -1314066346    0
2030343404    2030343404    1
-1485002459    1311900028    0
-1485002459    -1485002459    1
376478199    -450997373    0
376478199    376478199    1
-239770306    168213240    0
-239770306    -239770306    1
-1026856300    -41951905    0
-1026856300    -1026856300    1
-863777843    -677638342    0
-863777843    -863777843    1
1967827293    73807727    0
1967827293    1967827293    1
1774730664    779663236    0
1774730664    1774730664    1
202617013    1672460379    0
202617013    202617013    1
-1158576520    -548527154    0
-1158576520    -1158576520    1
814354398    485518460    0
814354398    814354398    1
-737350686    -1825500473    0
-737350686    -737350686    1
-1923976786    990595329    0
-1923976786    -1923976786    1
-845504840    306855262    0
-845504840    -845504840    1
-2120822435    812586636    0
-2120822435    -2120822435    1
1540701012    -1251559886    0
1540701012    1540701012    1
-1802929721    -24247560    0
-1802929721    -1802929721    1
-1330868805    1506378053    0
-1330868805    -1330868805    1
-1171669647    -765197715    0
-1171669647    -1171669647    1
-114517482    1349327797    0
-114517482    -114517482    1
730903268    -1769125872    0
730903268    730903268    1
-25275166    505587088    0
-25275166    -25275166    1
-386304667    1265288004    0
-386304667    -386304667    1
716049499    179519655    0
716049499    716049499    1
-1355460804    -1579540508    0
-1355460804    -1355460804    1
1159784431    -31547540    0
1159784431    1159784431    1
317829113    -1218852764    0
317829113    317829113    1
-1425440183    1866060830    0
-1425440183    -1425440183    1
474886425    -1208406612    0
474886425    474886425    1
1426975998    1086158764    0
1426975998    1426975998    1
857491171    1337438916    0
857491171    857491171    1
-1392668899    1252678135    0
-1392668899    -1392668899    1
-2108308230    -136921788    0
-2108308230    -2108308230    1
457979012    -1134690240    0
457979012    457979012    1
1191328646    1427053363    0
1191328646    1191328646    1
1056951270    -1945846445    0
1056951270    1056951270    1
-1335512625    -1216217258    0
-1335512625    -1335512625    1
1898777052    1657260648    0
1898777052    1898777052    1
-38116155    974615899    0
-38116155    -38116155    1
-456237861    -85302816    0
-456237861    -456237861    1
-1912612032    627846095    0
-1912612032    -1912612032    1
-824899405    640844375    0
-824899405    -824899405    1
-1655004637    1749436820    0
-1655004637    -1655004637    1
19810503    1174611203    0
19810503    19810503    1
2001801266    12064889    0
2001801266    2001801266    1
-1762887365    -661848891    0
-1762887365    -1762887365    1
388652508    2028384483    0
388652508    388652508    1
857987477    -1752219923    0
857987477    857987477    1
-170776996    -466892927    0
-170776996    -170776996    1
1973270636    1260440934    0
1973270636    1973270636    1
-1353607809    1770371633    0
-1353607809    -1353607809    1
99450991    2053294849    0
99450991    99450991    1
-699962891    834880579    0
-699962891    -699962891    1
