A[32]          B[32]         C
1258761609    -1008572422    1
1258761609    1258761609    0
328803149    919011537    0
328803149    328803149    0
-437150444    -1405550236    1
-437150444    -437150444    0
-1993595589    -1621944526    0
-1993595589    -1993595589    0
-524668539    685981805    0
-524668539    -524668539    0
1728955042    -2114060115    1
1728955042    1728955042    0
-398092604    472729689    0
-398092604    -398092604    0
592717247    -1736112813    1
592717247    592717247    0
70486706    1593584681    0
70486706    70486706    0
-1535401058    -917479056    0
-1535401058    -1535401058    0
-1336598074    -1166464868    0
-1336598074    -1336598074    0
327149261    -1667940708    1
327149261    327149261    0
-241949613    -680614005    1
-241949613    -241949613    0
774550935    2142269006    0
774550935    774550935    0
-1626994626    232344859    0
-1626994626    -1626994626    0
1129827778    1180924839    0
1129827778    1129827778    0
1038893995    -1592467240    1
1038893995    1038893995    0
1448157844    -275058760    1
1448157844    1448157844    0
326535264    -1499007893    1
326535264    326535264    0
1267407147    -494575828    1
1267407147    1267407147    0
1992154282    -1853756782    1
1992154282    1992154282    0
-206215151    -560790940    1
-206215151    -206215151    0
908126221    -1904278365    1
908126221    908126221    0
274460664    -1980120581    1
274460664    274460664    0
1115106790    1314783288    0
1115106790    1115106790    0
-2070991872    233572047    0
-2070991872    -2070991872    0
-758659478    -68994275    0
-758659478    -758659478    0
349410424    -718912678    1
349410424    349410424    0
-1867691648    -927028132    0
-1867691648    -1867691648    0
145851489    239450199    0
145851489    145851489    0
2077055364    -1509952358    1
2077055364    2077055364    0
-1605714999    2074276539    0
-1605714999    -1605714999    0
-1903504213    -1498969975    0
-1903504213    -1903504213    0
-374616673    1133749869    0
-374616673    -374616673    0
990075466    1338483969    0
990075466    990075466    0
1677892555    1520995297    1
1677892555    1677892555    0
-83604820    -1051527975    1
-83604820    -83604820    0
1896587798    -900214007    1
1896587798    1896587798    0
455522687    -622947841    1
455522687    455522687    0
666634026    -1712344284    1
666634026    666634026    0
-2091273087    -2050153494    0
-2091273087    -2091273087    0
552637308    -1893758216    1
552637308    552637308    0
-1667098535    -1625866968    0
-1667098535    -1667098535    0
-1169462144    -381644421    0
-1169462144    -1169462144    0
-2786997    1666017857    0
-2786997    -2786997    0
-515657353    -1248864206    1
-515657353    -515657353    0
488992669    758513623    0
488992669    488992669    0
-995435424    239625354    0
-995435424    -995435424    0
-1568711876    1048610867    0
-1568711876    -1568711876    0
24064013    -1012499354    1
24064013    24064013    0
411504407    25376577    1
411504407    411504407    0
798114786    -224071500    1
798114786    798114786    0
-1801032480    277723837    0
-1801032480    -1801032480    0
1455001163    1790142465    0
1455001163    1455001163    0
838355608    -106429115    1
838355608    838355608    0
-1600220618    2043197113    0
-1600220618    -1600220618    0
927867857    512418242    1
927867857    927867857    0
-174508216    -730013111    1
-174508216    -174508216    0
-226660046    1605133366    0
-226660046    -226660046    0
63628082    1466776715    0
63628082    63628082    0
-316114842    -792855046    1
-316114842    -316114842    0
-1808977462    1703144772    0
-1808977462    -1808977462    0
1413384976    454548760    1
1413384976    1413384976    0
-591496828    489912656    0
-591496828    -591496828    0
-2035518933    532284766    0
-2035518933    -2035518933    0
-2028002863    1913005453    0
-2028002863    -2028002863    0
1419521731    -2130055797    1
1419521731    1419521731    0
983133621    -799087651    1
983133621    983133621    0
-637799994    1388886524    0
-637799994    -637799994    0
1926828005    -636710676    1
1926828005    1926828005    0
1496540380    -862473193    1
1496540380    1496540380    0
-472834907    -2008528038    1
-472834907    -472834907    0
858188277    -847048780    1
858188277    858188277    0
502931661    868681315    0
502931661    502931661    0
2007202783    -1983071703    1
2007202783    2007202783    0
84657561    621061294    0
84657561    84657561    0
-122469140    1675989378    0
-122469140    -122469140    0
433611627    -532882854    1
433611627    433611627    0
2034771532    1600934158    1
2034771532    2034771532    0
451502037    354475464    1
451502037    451502037    0
1746821210    630675282    1
1746821210    1746821210    0
1694756930    567392822    1
1694756930    1694756930    0
-1041465716    -869311049    0
-1041465716    -1041465716    0
-1050615250    -1264503664    1
-1050615250    -1050615250    0
-430949601    -1575869583    1
-430949601    -430949601    0
-1635739980    -1467260299    0
-1635739980    -1635739980    0
2086604383    -712058079    1
2086604383    2086604383    0
784739470    -1832237139    1
784739470    784739470    0
-935692    811245596    0
-935692    -935692    0
463359604    -854930897    1
463359604    463359604    0
-598403537    871843641    0
-598403537    -598403537    0
-94558825    -552834699    1
-94558825    -94558825    0
808951753    1365453104    0
808951753    808951753    0
587224282    406830424    1
587224282    587224282    0
-1536880297    -1678671429    1
-1536880297    -1536880297    0
486292183    -1335712169    1
486292183    486292183    0
-2024265851    13110830    0
-2024265851    -2024265851    0
-675024583    -1271399254    1
-675024583    -675024583    0
361044851    -90101149    1
361044851    361044851    0
-98095710    620319856    0
-98095710    -98095710    0
1979892851    -1736101593    1
1979892851    1979892851    0
-102348559    646494182    0
-102348559    -102348559    0
1058598912    1507060733    0
1058598912    1058598912    0
625302859    -271537989    1
625302859    625302859    0
-340222829    -1411971783    1
-340222829    -340222829    0
-448573108    660932433    0
