A[32]          B[32]         C
-254421099    -792983252    0
-254421099    -254421099    0
1563990640    804462089    0
1563990640    1563990640    0
-2111369735    -1600231025    1
-2111369735    -2111369735    0
-1970455923    -854526121    1
-1970455923    -1970455923    0
323915443    -479730110    0
323915443    323915443    0
-1813035936    1254918405    1
-1813035936    -1813035936    0
433614776    -763946618    0
433614776    433614776    0
1385768490    -219612776    0
1385768490    1385768490    0
2008759793    861373254    0
2008759793    2008759793    0
-949377997    1064912218    1
-949377997    -949377997    0
1194843765    -1619369098    0
1194843765    1194843765    0
-1795529226    -595572095    1
-1795529226    -1795529226    0
1063542853    639548187    0
1063542853    1063542853    0
1625625801    -877720253    0
1625625801    1625625801    0
513479628    1573369550    1
513479628    513479628    0
1980336775    35701461    0
1980336775    1980336775    0
-1194262254    -1838652412    0
-1194262254    -1194262254    0
1744495137    -1331421120    0
1744495137    1744495137    0
-739643374    -664089173    1
-739643374    -739643374    0
-937645677    892600444    1
-937645677    -937645677    0
-998689678    -659970918    1
-998689678    -998689678    0
-2046128508    -1210960934    1
-2046128508    -2046128508    0
798966954    1959713016    1
798966954    798966954    0
-1101366864    450479634    1
-1101366864    -1101366864    0
1324191088    -1790521390    0
1324191088    1324191088    0
711458514    395719214    0
711458514    711458514    0
1626087488    600675974    0
1626087488    1626087488    0
-1567205763    242309120    1
-1567205763    -1567205763    0
-1160610010    825089124    1
-1160610010    -1160610010    0
-1420603288    2142687940    1
-1420603288    -1420603288    0
-225102042    1349202682    1
-225102042    -225102042    0
-1213476228    -723307862    1
-1213476228    -1213476228    0
-1000907071    1601270073    1
-1000907071    -1000907071    0
186982299    -878737790    0
186982299    186982299    0
1419385417    765202975    0
1419385417    1419385417    0
-1283344359    1867126678    1
-1283344359    -1283344359    0
-296389616    -1592270287    0
-296389616    -296389616    0
395786933    -81250564    0
395786933    395786933    0
-1583467186    -1590857301    0
-1583467186    -1583467186    0
303050425    -1503964868    0
303050425    303050425    0
-431835276    -1331817390    0
-431835276    -431835276    0
-468840644    1069705366    1
-468840644    -468840644    0
715330021    652884276    0
715330021    715330021    0
294775263    276749093    0
294775263    294775263    0
1100602710    1472142587    1
